age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price,TYPE
4.0,16.0,45000.0,3.0,7.0,6.0,6.0,1.0,1500000.0,2.0
2.0,18.0,30000.0,3.0,4.0,5.0,0.0,1.0,1050000.0,2.0
11.0,31.0,82000.0,4.0,4.0,5.0,7.0,2.0,1120000.0,2.0
6.0,15.0,80000.0,4.0,7.0,5.0,4.0,1.0,1200000.0,2.0
4.0,9.0,76500.0,4.0,7.0,7.0,0.0,1.0,1275000.0,2.0
5.0,8.0,58373.0,2.0,7.0,7.0,0.0,1.0,975000.0,2.0
7.0,10.0,112000.0,4.0,7.0,5.0,7.0,1.0,1000000.0,2.0
3.0,18.0,55629.0,3.0,0.0,5.0,0.0,1.0,1000000.0,2.0
2.0,15.0,15000.0,3.0,7.0,5.0,0.0,1.0,1800000.0,2.0
3.0,9.0,28710.0,4.0,2.0,4.0,4.0,1.0,1595000.0,2.0
4.0,10.0,88940.0,3.0,7.0,5.0,6.0,1.0,1110000.0,2.0
9.0,32.0,59300.0,3.0,4.0,5.0,7.0,2.0,1675000.0,2.0
1.0,10.0,10772.0,3.0,4.0,5.0,3.0,1.0,1469000.0,2.0
3.0,10.0,42239.0,4.0,7.0,7.0,4.0,1.0,1400000.0,2.0
3.0,15.0,65213.0,4.0,5.0,7.0,0.0,1.0,1200000.0,2.0
5.0,15.0,120000.0,4.0,3.0,5.0,0.0,2.0,1000000.0,2.0
11.0,32.0,125000.0,4.0,4.0,0.0,0.0,1.0,1455000.0,2.0
4.0,9.0,80000.0,4.0,7.0,4.0,4.0,1.0,1350000.0,2.0
5.0,8.0,55312.0,3.0,5.0,6.0,4.0,1.0,965000.0,2.0
0.0,10.0,2600.0,3.0,2.0,5.0,0.0,1.0,950000.0,2.0
4.0,10.0,58651.0,4.0,7.0,5.0,0.0,1.0,1150000.0,2.0
5.0,15.0,25619.0,3.0,7.0,5.0,3.0,2.0,1152313.0,2.0
3.0,8.0,72000.0,3.0,5.0,7.0,0.0,1.0,975000.0,2.0
3.0,7.0,45987.0,5.0,3.0,5.0,7.0,1.0,1075000.0,2.0
5.0,9.0,67500.0,4.0,7.0,7.0,0.0,1.0,1125000.0,2.0
3.0,8.0,38908.0,3.0,5.0,6.0,0.0,1.0,950000.0,2.0
8.0,22.0,123658.0,4.0,7.0,8.0,0.0,1.0,1400000.0,2.0
6.0,15.0,67000.0,3.0,3.0,5.0,0.0,1.0,1150000.0,2.0
2.0,10.0,25445.0,3.0,3.0,5.0,0.0,1.0,950000.0,2.0
4.0,8.0,23000.0,3.0,5.0,6.0,0.0,1.0,950000.0,2.0
5.0,9.0,30293.0,3.0,7.0,4.0,4.0,1.0,1253215.0,2.0
4.0,9.0,250000.0,4.0,7.0,7.0,0.0,1.0,1405591.0,2.0
2.0,9.0,25727.0,3.0,7.0,4.0,4.0,1.0,1450000.0,2.0
1.0,17.0,6000.0,3.0,7.0,5.0,4.0,1.0,1360000.0,2.0
1.0,15.0,10000.0,3.0,5.0,7.0,0.0,1.0,1100000.0,2.0
4.0,10.0,58949.0,3.0,7.0,5.0,0.0,1.0,998000.0,2.0
10.0,30.0,80500.0,4.0,7.0,5.0,7.0,1.0,1500000.0,2.0
11.0,22.0,181000.0,4.0,7.0,8.0,0.0,2.0,1150000.0,2.0
2.0,15.0,19500.0,3.0,7.0,5.0,0.0,2.0,1650000.0,2.0
4.0,10.0,75400.0,4.0,7.0,5.0,0.0,1.0,1500000.0,2.0
2.0,10.0,37000.0,4.0,7.0,5.0,0.0,1.0,1345000.0,2.0
3.0,17.0,94000.0,3.0,7.0,5.0,0.0,1.0,1200000.0,2.0
7.0,10.0,93427.0,4.0,7.0,5.0,0.0,1.0,1075000.0,2.0
1.0,9.0,7710.0,3.0,7.0,4.0,4.0,1.0,1490000.0,2.0
3.0,9.0,22000.0,3.0,7.0,7.0,0.0,1.0,1750000.0,2.0
1.0,9.0,20000.0,3.0,2.0,5.0,0.0,1.0,1150000.0,2.0
1.0,7.0,40960.0,5.0,0.0,5.0,7.0,1.0,1000000.0,2.0
2.0,9.0,18000.0,4.0,7.0,4.0,0.0,1.0,1430000.0,2.0
4.0,22.0,150000.0,4.0,7.0,8.0,0.0,1.0,1720000.0,2.0
