age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price,TYPE
12.0,16.0,120000.0,2.0,2.0,5.0,0.0,11.0,180000.0,0.0
9.0,4.0,35105.0,1.0,0.0,5.0,0.0,5.0,240000.0,0.0
17.0,8.0,130000.0,1.0,0.0,5.0,0.0,14.0,60000.0,0.0
14.0,7.0,70248.0,1.0,2.0,5.0,0.0,9.0,140000.0,0.0
11.0,12.0,132000.0,2.0,5.0,5.0,0.0,6.0,245000.0,0.0
5.0,3.0,55000.0,1.0,0.0,5.0,0.0,6.0,500000.0,0.0
14.0,9.0,72000.0,2.0,2.0,5.0,0.0,5.0,300000.0,0.0
12.0,3.0,195000.0,2.0,2.0,5.0,0.0,6.0,300000.0,0.0
12.0,3.0,14089.0,2.0,5.0,7.0,0.0,6.0,200000.0,0.0
2.0,2.0,38456.0,1.0,0.0,5.0,0.0,5.0,400000.0,0.0
7.0,2.0,73000.0,1.0,0.0,5.0,7.0,8.0,500000.0,0.0
7.0,3.0,84243.0,1.0,0.0,5.0,2.0,3.0,450000.0,0.0
13.0,16.0,101000.0,2.0,5.0,5.0,0.0,8.0,460000.0,0.0
15.0,7.0,150000.0,2.0,2.0,5.0,0.0,11.0,120000.0,0.0
6.0,3.0,71000.0,1.0,0.0,5.0,0.0,3.0,325586.0,0.0
9.0,3.0,36267.0,1.0,0.0,5.0,0.0,6.0,275000.0,0.0
17.0,3.0,434800.0,2.0,2.0,5.0,0.0,15.0,200000.0,0.0
5.0,2.0,95000.0,1.0,0.0,5.0,0.0,5.0,360000.0,0.0
14.0,8.0,120000.0,3.0,2.0,5.0,0.0,13.0,135000.0,0.0
9.0,2.0,70000.0,3.0,0.0,5.0,0.0,8.0,360000.0,0.0
13.0,9.0,68000.0,2.0,0.0,5.0,0.0,6.0,100000.0,0.0
14.0,2.0,91000.0,2.0,2.0,5.0,0.0,5.0,205000.0,0.0
14.0,7.0,70000.0,2.0,2.0,5.0,0.0,5.0,150000.0,0.0
7.0,3.0,32298.0,1.0,0.0,5.0,0.0,3.0,425000.0,0.0
9.0,3.0,96450.0,2.0,5.0,7.0,0.0,9.0,500000.0,0.0
8.0,2.0,48000.0,1.0,0.0,5.0,0.0,5.0,250000.0,0.0
9.0,8.0,49000.0,1.0,2.0,5.0,0.0,3.0,450000.0,0.0
8.0,8.0,92000.0,2.0,0.0,5.0,0.0,8.0,350000.0,0.0
10.0,3.0,50000.0,2.0,0.0,5.0,0.0,3.0,400000.0,0.0
8.0,1.0,82000.0,1.0,8.0,7.0,0.0,5.0,240000.0,0.0
13.0,3.0,158000.0,2.0,0.0,5.0,0.0,6.0,170000.0,0.0
12.0,19.0,75000.0,2.0,5.0,7.0,0.0,3.0,500000.0,0.0
12.0,8.0,7000.0,1.0,0.0,5.0,0.0,5.0,350000.0,0.0
9.0,11.0,248604.0,2.0,5.0,5.0,0.0,3.0,500000.0,0.0
16.0,3.0,114100.0,1.0,0.0,5.0,0.0,9.0,85000.0,0.0
11.0,17.0,162500.0,2.0,0.0,5.0,0.0,3.0,348316.0,0.0
11.0,7.0,115000.0,2.0,1.0,5.0,0.0,9.0,200000.0,0.0
7.0,1.0,92000.0,1.0,0.0,5.0,7.0,5.0,280000.0,0.0
13.0,2.0,50000.0,2.0,2.0,5.0,0.0,5.0,427000.0,0.0
11.0,8.0,85000.0,2.0,0.0,5.0,0.0,9.0,260000.0,0.0
12.0,13.0,93000.0,1.0,0.0,5.0,0.0,8.0,300000.0,0.0
4.0,2.0,123900.0,1.0,0.0,5.0,0.0,8.0,460000.0,0.0
5.0,7.0,60000.0,1.0,0.0,5.0,0.0,5.0,410000.0,0.0
15.0,3.0,70000.0,1.0,0.0,0.0,0.0,6.0,75000.0,0.0
3.0,3.0,60000.0,1.0,0.0,5.0,0.0,3.0,350000.0,0.0
17.0,3.0,120000.0,2.0,0.0,5.0,0.0,6.0,300000.0,0.0
9.0,8.0,80000.0,1.0,0.0,5.0,0.0,5.0,370000.0,0.0
4.0,3.0,28600.0,1.0,0.0,5.0,0.0,6.0,415000.0,0.0
4.0,4.0,60000.0,1.0,8.0,7.0,7.0,5.0,490000.0,0.0
9.0,2.0,90000.0,2.0,2.0,5.0,0.0,8.0,450000.0,0.0
8.0,2.0,85179.0,2.0,2.0,5.0,0.0,5.0,450000.0,0.0
13.0,8.0,80000.0,1.0,0.0,5.0,0.0,3.0,270000.0,0.0
11.0,11.0,150000.0,2.0,5.0,5.0,0.0,8.0,275000.0,0.0
9.0,11.0,50000.0,1.0,2.0,5.0,0.0,8.0,350000.0,0.0
9.0,19.0,75000.0,2.0,5.0,7.0,0.0,3.0,450000.0,0.0
4.0,7.0,75000.0,1.0,0.0,5.0,0.0,8.0,450000.0,0.0
10.0,9.0,100000.0,2.0,2.0,5.0,0.0,11.0,360000.0,0.0
9.0,17.0,59949.0,1.0,0.0,5.0,0.0,6.0,388000.0,0.0
9.0,8.0,108560.0,1.0,0.0,5.0,0.0,8.0,380000.0,0.0
7.0,3.0,160000.0,2.0,5.0,5.0,0.0,6.0,450000.0,0.0
9.0,3.0,60000.0,1.0,9.0,0.0,0.0,3.0,230000.0,0.0
4.0,7.0,40000.0,1.0,4.0,5.0,2.0,15.0,500000.0,0.0
11.0,17.0,72000.0,2.0,0.0,5.0,0.0,8.0,320000.0,0.0
12.0,3.0,47036.0,1.0,0.0,5.0,0.0,6.0,175000.0,0.0
7.0,3.0,120000.0,1.0,0.0,5.0,0.0,3.0,500000.0,0.0
10.0,8.0,55000.0,4.0,0.0,5.0,0.0,6.0,300000.0,0.0
