age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price,TYPE
6.0,8.0,40000.0,1.0,0.0,5.0,0.0,5.0,600000.0,1.0
2.0,8.0,43500.0,1.0,1.0,5.0,0.0,3.0,695000.0,1.0
3.0,7.0,28000.0,1.0,4.0,5.0,2.0,3.0,850000.0,1.0
2.0,8.0,49237.0,1.0,0.0,5.0,0.0,3.0,775001.0,1.0
4.0,3.0,35000.0,1.0,0.0,5.0,2.0,3.0,600000.0,1.0
9.0,2.0,96000.0,2.0,2.0,5.0,0.0,5.0,550000.0,1.0
3.0,7.0,125000.0,2.0,4.0,5.0,0.0,3.0,800000.0,1.0
7.0,2.0,81000.0,2.0,0.0,5.0,0.0,13.0,600000.0,1.0
3.0,16.0,38000.0,1.0,5.0,5.0,0.0,3.0,875000.0,1.0
4.0,19.0,150000.0,2.0,5.0,5.0,0.0,5.0,600000.0,1.0
7.0,13.0,120000.0,2.0,0.0,5.0,0.0,5.0,600000.0,1.0
9.0,2.0,87000.0,2.0,0.0,5.0,0.0,8.0,525000.0,1.0
3.0,3.0,15000.0,1.0,0.0,5.0,0.0,3.0,650000.0,1.0
9.0,13.0,61000.0,1.0,2.0,5.0,0.0,8.0,630000.0,1.0
4.0,3.0,68000.0,1.0,1.0,5.0,0.0,3.0,650000.0,1.0
3.0,3.0,30000.0,1.0,0.0,5.0,0.0,3.0,510000.0,1.0
6.0,2.0,68000.0,2.0,5.0,5.0,0.0,5.0,750000.0,1.0
2.0,15.0,28000.0,1.0,0.0,5.0,0.0,5.0,850000.0,1.0
10.0,13.0,150000.0,1.0,8.0,7.0,0.0,5.0,550000.0,1.0
1.0,7.0,8000.0,1.0,5.0,5.0,0.0,5.0,700001.0,1.0
6.0,8.0,160000.0,2.0,0.0,5.0,0.0,5.0,680000.0,1.0
7.0,7.0,55000.0,1.0,5.0,5.0,0.0,3.0,650000.0,1.0
3.0,13.0,43806.0,1.0,2.0,5.0,0.0,3.0,895000.0,1.0
8.0,13.0,72573.0,2.0,5.0,5.0,0.0,3.0,599999.0,1.0
7.0,18.0,52000.0,1.0,2.0,5.0,7.0,5.0,625000.0,1.0
5.0,2.0,60000.0,1.0,0.0,5.0,0.0,5.0,550000.0,1.0
10.0,19.0,115000.0,2.0,5.0,7.0,0.0,3.0,800000.0,1.0
6.0,8.0,45000.0,1.0,5.0,5.0,0.0,3.0,750000.0,1.0
