age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price
3.0,19.0,33000.0,2.0,5.0,4.0,0.0,3.0,1390000.0
15.0,2.0,11000.0,1.0,0.0,5.0,0.0,11.0,110000.0
7.0,19.0,75000.0,2.0,5.0,7.0,0.0,5.0,640000.0
2.0,14.0,9932.0,1.0,5.0,5.0,0.0,5.0,1246243.0
12.0,8.0,100000.0,2.0,2.0,5.0,0.0,11.0,380000.0
4.0,2.0,70000.0,1.0,0.0,5.0,0.0,5.0,500000.0
2.0,13.0,6200.0,1.0,2.0,5.0,0.0,3.0,1085000.0
6.0,2.0,64000.0,1.0,2.0,5.0,0.0,5.0,500000.0
2.0,2.0,60000.0,1.0,0.0,5.0,0.0,5.0,450000.0
6.0,19.0,90000.0,2.0,8.0,8.0,0.0,5.0,600000.0
4.0,7.0,41539.0,2.0,0.0,5.0,0.0,6.0,525000.0
19.0,37.0,63000.0,1.0,2.0,5.0,7.0,3.0,3500000.0
7.0,4.0,100.0,2.0,5.0,5.0,0.0,6.0,600000.0
13.0,11.0,80000.0,1.0,0.0,5.0,0.0,8.0,320000.0
2.0,8.0,13600.0,1.0,5.0,5.0,7.0,5.0,1765000.0
8.0,3.0,100000.0,1.0,0.0,5.0,0.0,3.0,300000.0
9.0,16.0,77000.0,1.0,2.0,5.0,7.0,3.0,1125111.0
2.0,7.0,10000.0,1.0,0.0,5.0,0.0,5.0,840000.0
5.0,3.0,26970.0,1.0,0.0,5.0,2.0,3.0,650000.0
11.0,8.0,131000.0,1.0,0.0,5.0,0.0,6.0,200000.0
10.0,3.0,100000.0,2.0,5.0,7.0,0.0,6.0,520000.0
2.0,2.0,60000.0,1.0,8.0,7.0,7.0,5.0,1300000.0
0.0,18.0,19000.0,2.0,5.0,7.0,4.0,3.0,4300000.0
8.0,3.0,60100.0,1.0,0.0,5.0,2.0,3.0,400000.0
9.0,2.0,70000.0,1.0,0.0,5.0,0.0,5.0,350000.0
3.0,2.0,40000.0,1.0,0.0,5.0,0.0,8.0,600000.0
2.0,2.0,20000.0,1.0,5.0,5.0,0.0,5.0,1170000.0
1.0,26.0,11489.0,1.0,5.0,7.0,7.0,1.0,10500000.0
17.0,19.0,26000.0,2.0,5.0,7.0,0.0,6.0,275000.0
5.0,7.0,68000.0,2.0,5.0,7.0,4.0,9.0,1031000.0
14.0,8.0,73000.0,1.0,0.0,5.0,0.0,11.0,120000.0
3.0,8.0,50000.0,2.0,5.0,5.0,0.0,5.0,1099999.0
9.0,9.0,70000.0,1.0,2.0,5.0,0.0,8.0,175000.0
7.0,8.0,30000.0,1.0,0.0,5.0,0.0,8.0,600000.0
17.0,2.0,160000.0,2.0,0.0,5.0,0.0,13.0,140000.0
8.0,1.0,30000.0,1.0,0.0,5.0,0.0,3.0,240000.0
17.0,16.0,100000.0,1.0,0.0,5.0,0.0,8.0,200000.0
8.0,8.0,41000.0,1.0,0.0,5.0,0.0,5.0,600000.0
10.0,2.0,40000.0,1.0,0.0,5.0,0.0,5.0,200000.0
1.0,8.0,6500.0,1.0,4.0,5.0,0.0,3.0,1085000.0
11.0,13.0,63000.0,2.0,2.0,5.0,0.0,5.0,425000.0
9.0,36.0,65000.0,2.0,5.0,5.0,7.0,6.0,5975000.0
1.0,3.0,11000.0,1.0,0.0,5.0,2.0,3.0,555000.0
6.0,12.0,74000.0,2.0,5.0,5.0,0.0,5.0,590000.0
7.0,1.0,40000.0,1.0,8.0,7.0,0.0,5.0,270000.0
6.0,3.0,84000.0,1.0,0.0,5.0,0.0,3.0,415000.0
4.0,18.0,89000.0,2.0,5.0,7.0,0.0,3.0,1499000.0
8.0,2.0,100000.0,2.0,2.0,5.0,7.0,8.0,300000.0
2.0,2.0,70000.0,1.0,8.0,7.0,0.0,5.0,850000.0
2.0,31.0,28485.0,2.0,2.0,5.0,4.0,3.0,4600000.0
7.0,7.0,150000.0,2.0,5.0,7.0,0.0,3.0,1100000.0
14.0,17.0,127000.0,1.0,2.0,5.0,0.0,8.0,145000.0
6.0,8.0,50000.0,2.0,0.0,5.0,0.0,5.0,425000.0
3.0,2.0,29399.0,1.0,2.0,5.0,0.0,5.0,680652.0
11.0,8.0,61658.0,1.0,0.0,5.0,0.0,5.0,235000.0
14.0,2.0,50000.0,1.0,0.0,5.0,0.0,11.0,120000.0
6.0,2.0,86000.0,1.0,0.0,5.0,0.0,5.0,545000.0
11.0,35.0,125000.0,2.0,2.0,5.0,7.0,5.0,1100000.0
5.0,7.0,50000.0,1.0,5.0,5.0,7.0,5.0,665000.0
17.0,3.0,90000.0,1.0,0.0,5.0,0.0,9.0,233017.0
11.0,12.0,112500.0,2.0,5.0,5.0,0.0,3.0,400000.0
7.0,8.0,35000.0,1.0,1.0,5.0,0.0,3.0,481224.0
8.0,2.0,100000.0,2.0,5.0,5.0,0.0,5.0,750000.0
11.0,11.0,135000.0,2.0,5.0,5.0,0.0,9.0,550000.0
3.0,7.0,18659.0,1.0,5.0,5.0,0.0,5.0,730000.0
2.0,2.0,29000.0,1.0,0.0,5.0,0.0,5.0,835000.0
5.0,11.0,81000.0,2.0,2.0,5.0,0.0,5.0,550000.0
7.0,2.0,120000.0,1.0,0.0,5.0,0.0,5.0,470000.0
11.0,3.0,84688.0,1.0,0.0,5.0,7.0,6.0,265000.0
5.0,8.0,30000.0,1.0,0.0,5.0,0.0,8.0,550000.0
3.0,20.0,22697.0,1.0,5.0,5.0,7.0,5.0,1294723.0
4.0,8.0,43000.0,2.0,2.0,5.0,7.0,8.0,1100000.0
9.0,1.0,21000.0,1.0,0.0,5.0,0.0,3.0,250000.0
