age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price,TYPE
7.0,34.0,32666.0,1.0,2.0,5.0,7.0,5.0,6200000.0,3.0
9.0,34.0,63000.0,2.0,2.0,5.0,7.0,6.0,1900000.0,3.0
8.0,31.0,48000.0,2.0,2.0,5.0,7.0,3.0,2075000.0,3.0
8.0,31.0,97000.0,2.0,2.0,5.0,7.0,8.0,2200000.0,3.0
1.0,7.0,40687.0,2.0,5.0,7.0,4.0,3.0,2290000.0,3.0
2.0,34.0,20000.0,2.0,5.0,7.0,7.0,5.0,10400000.0,3.0
12.0,31.0,89000.0,2.0,5.0,5.0,7.0,6.0,2375000.0,3.0
1.0,8.0,10000.0,9.0,5.0,5.0,7.0,5.0,4500000.0,3.0
1.0,35.0,6023.0,1.0,2.0,5.0,5.0,1.0,4600000.0,3.0
7.0,31.0,44400.0,1.0,2.0,5.0,7.0,8.0,3300000.0,3.0
1.0,20.0,7000.0,1.0,5.0,7.0,7.0,5.0,2000000.0,3.0
2.0,31.0,10968.0,8.0,5.0,5.0,7.0,3.0,17500000.0,3.0
4.0,34.0,30000.0,1.0,2.0,5.0,7.0,5.0,5500000.0,3.0
0.0,34.0,30000.0,1.0,14.0,5.0,7.0,5.0,12100000.0,3.0
1.0,19.0,9000.0,1.0,5.0,7.0,0.0,3.0,1865000.0,3.0
7.0,18.0,73000.0,2.0,5.0,7.0,0.0,3.0,2295000.0,3.0
2.0,7.0,60000.0,2.0,5.0,5.0,0.0,5.0,1950000.0,3.0
9.0,34.0,108624.0,1.0,5.0,5.0,7.0,3.0,2700000.0,3.0
4.0,34.0,30817.0,1.0,2.0,5.0,7.0,3.0,5500000.0,3.0
7.0,29.0,58098.0,1.0,5.0,5.0,3.0,3.0,3200000.0,3.0
1.0,31.0,16997.0,2.0,2.0,5.0,4.0,3.0,5500000.0,3.0
5.0,26.0,90500.0,2.0,5.0,5.0,7.0,3.0,3150000.0,3.0
2.0,14.0,17000.0,2.0,8.0,7.0,0.0,5.0,1900000.0,3.0
7.0,31.0,70000.0,2.0,2.0,5.0,7.0,9.0,3300000.0,3.0
2.0,7.0,6100.0,2.0,5.0,5.0,4.0,3.0,2023000.0,3.0
2.0,31.0,17822.0,9.0,5.0,5.0,7.0,3.0,8200000.0,3.0
4.0,31.0,39580.0,2.0,5.0,5.0,7.0,3.0,5250000.0,3.0
2.0,31.0,1200.0,1.0,15.0,2.0,4.0,3.0,9500000.0,3.0
0.0,34.0,2400.0,6.0,2.0,5.0,4.0,1.0,9150000.0,3.0
2.0,31.0,10968.0,8.0,5.0,5.0,7.0,3.0,17500000.0,3.0
